phrase	category
"For many, ""the country"" is not a place, but merely 'a state of the mind.' It's spending breakfast table-first and having golden light for chatting in the morning on lazy afternoons; it'll be the experience of living with Andersen Light. Or call your local retailer or visit their store to learn more."	advertisement
The memories of a home that's been in the family for generations can never be replaced. But a replacement insurance policy from Chubb can restore a unique property, should it ever be damaged. Chubb appraisers carefully note unique architectural details and construction materials, creating a valuable record.	advertisement
The signs of heart health problems can vary greatly depending on the individual's circumstances. For instance, if you experience sudden fatigue, chest pain, or poor coloring, coronary artery disease can be a sign of trouble. At John Hopkins, we have state-of-the-art medical technology and skilled physicians to diagnose any heart condition.	advertisement
Elsewhere, there were some clear skies overnight with calm conditions	weather
Finally the 'B' is as easy as the 'L' and the 'T'. 0 [zero] to Bacon in 10 seconds. Oscar Mayer. Real Bacon. Real Simple.	advertisement
"Patrick wrote of Meghan: ""We are not really in touch. She leads a very different life now for obvious and important reasons. [But] upon hearing about the podcast, I got a lovely text, saying how excited she was for us and asking how she could help in anyway."""	gossip
In order to combat premature births, which are the leading cause of newborn deaths worldwide, we encourage you to join Walk America and participate in their research. To learn more, contact your local March Of Dimes chapter or visit WalkAmerica.org.	advertisement
Prevailing high pressure. Day with stable atmospheric conditions, sky at times very cloudy or locally even overcast.	weather
She stated that technology has made it simpler to disseminate a negative message and attract broader audiences, which has both contributed to its growing popularity and increased risks.	crime
Snow on the hills was a persistent feature of northern and eastern Scotland, along with another rain-soaked region.	weather
The southern region is characterized by cloudy skies and significant disturbances, with temperatures that are near average across most of the country.	weather
The day will be characterized by high pressure and stable weather, with cloudy or overcast skies at times.	weather
The elimination of James Cleverly was a shock that nearly all individuals were stunned by.	politics
The new Huggies UltraTrim diapers are a perfect match for the softness of their fabric outer cover, which helps prevent leakage.	advertisement
A former detective warns of lethal consequences as 'street takeovers' cause terror in towns across the US.	crime
With all the children's cold medicines out there, how many do you think relieve every major cold symptom? Only one. CHILDREN'S TYLENOL COLD ... PLUS COUGH ... the only one you'll need.	advertisement
Have you heard the best kept Disney secret? Disney Vacation Club offers you an affordable way to visit your Disney friends during the Happiest Celebration On Earth - and for many years to come! Plus, you'll enjoy a choice of over 450 other vacation destinations around the world. Discover the best kept Disney Secret now, and see why our members are some of the happiest folks on earth. Order your free DVD today, call 1-800-453-4912	advertisement
People don't always use common sense. Fortunately, there's a health care company that does. United HealthCare. Health planning tools to fight rising costs. 24-hour access to registered nurses. Preventive health care solutions. United HealthCare. It just makes sense.	advertisement
United HealthCare, a health care company that provides health planning tools and preventive care solutions, is one of the reasons why people don't always use common sense.	advertisement
Have you ever felt like you're losing yourself in the face of temptation? Then stop waiting for Quaker Mini Delights. They make rich, chocolatey, multi-grain cakes in a 90-calorie pack and are delicious.	advertisement
The shock at the elimination of James Cleverly was near universal.	politics
The half percentage point cut was made due to the need to balance inflation expectations with concerns about the labor market.	finance
Stock futures slipped Thursday as investors await the latest CPI data	finance
